region,kommune,kommune_kode,afstemningsområde,afstemningsområde_dagi_id,frigivelsestidspunkt,godkendelsestidspunkt,resultat_art,total_gyldige_stemmer,total_afgivne_stemmer,parti,parti_id,parti_bogstav,stemmer,listestemmer,difference_forrige_valg
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Velfærdsdemokraterne,b13fd0c4-2e9d-43eb-8165-b79f6c21d217,Y,0,0.0,
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Nye Borgerlige,811fea19-698f-4880-8fe3-cd00e14f3565,D,1,1.0,-1.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,9,8.0,0.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,0,0.0,
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Danmarksdemokraterne - Inger Støjberg,3b9d4d6f-a9b7-4d01-9561-6335ed844eec,Æ,4,4.0,
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,SF - Socialistisk Folkeparti,2d10753b-eb67-4f05-bec0-c52fde0104dc,F,11,5.0,1.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Moderaterne,45c5e877-2238-448a-8a4b-faf442550223,M,1,0.0,
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Radikale Venstre,d05122d2-4ea0-446c-9b83-5f9601beaece,B,30,,-6.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Det Konservative Folkeparti,f9b2ea60-3ef4-487f-a118-1e67e7195d08,C,213,,-51.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Socialdemokratiet,bedd1cb4-0f99-4863-a833-a1ae26f2de5c,A,385,,-334.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Nye Borgerlige,7073fc25-9d25-475b-a4b7-a40389a9b383,D,4,,-73.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,SF - Socialistisk Folkeparti,34d98d24-99a7-467b-a384-b266ead5fb49,F,181,,102.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Dansk Folkeparti,a5ef8864-af86-4e5e-93e5-d6504421b36b,O,128,,13.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Kristendemokraterne,8758f369-c821-4ae5-a5dc-9af4986f8ae1,K,41,,3.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Liberal Alliance,a21bf21e-321d-4a68-91f0-e1830957d22b,I,102,,100.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Moderaterne,4ec93d4e-2ff8-47aa-8c9e-f7aa514debde,M,8,,
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Vendelbo-Listen,d517e71c-f062-4e45-8d91-b9fd5e659a86,L,16,,
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,"Venstre, Danmarks Liberale Parti",b858cc73-3dce-493f-8d8b-64f8ca70f835,V,963,,89.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Danmarksdemokraterne - Inger Støjberg,2869c587-476c-4835-a735-ee00bdb07648,Æ,216,,
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Enhedslisten - De Rød-Grønne,9bbda3ed-a4b9-4ba3-864a-dfc33373600f,Ø,35,,-22.0
Nordjylland,Jammerbugt,849,Fjerritslev,707632,2025-11-18 21:54:08,,ForeløbigOptælling,2329,2410,Alternativet,eace5de3-c706-42e2-b027-57cabf63b54b,Å,7,,-1.0
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Socialdemokratiet,154ee9c2-00cb-4a83-9495-63e0b1e508e6,A,728,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Radikale Venstre,82ef776d-6533-4180-abc5-dce24ee8e9d7,B,193,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Sydhavslisten,0bb749f4-c68d-41f0-bc4c-c01a632129ec,T,3,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Kommunistisk Parti,c995a6fd-7cd8-40b9-ae4e-0f60b4b43419,R,4,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,"Alliancen for Børnene, Ungdommen og Fremtiden",fd504b0a-00c0-4731-8fed-b054fc6e40c4,U,11,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Danmarksdemokraterne - Inger Støjberg,b09ff3ea-486a-4b81-9d06-6bb32621336e,Æ,130,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Liberal Alliance,c13eb02f-c7dc-462f-83e8-360308e1b580,I,202,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Demokraterne - hele Danmark skal leve,e1f31f51-726b-40ae-8e28-3d0b3775492d,J,5,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Kristendemokraterne,8817c9d8-9fc0-4c3c-b949-d6ffbbf939df,K,23,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Bylisten,287686fd-375d-4e20-a74e-1e31a266c06a,L,5,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Nyt Sjælland,15c6a9ea-3fe0-4b1e-9792-75389ad9fab5,N,15,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Moderaterne,0e5f3e0b-47bb-408b-b392-da5f71efff4f,M,76,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Enhedslisten - De Rød-Grønne,ba378cab-6232-40a8-a3ba-bfb8dd9295e6,Ø,165,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,"Venstre, Danmarks Liberale Parti",7a39ffb2-1764-4237-8e11-838fc16642a9,V,551,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Alternativet,7a6fe3c3-54f8-43ce-82cd-017277f00f41,Å,38,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,SF - Socialistisk Folkeparti,c1332412-fb2a-4503-aae7-5e1a0b34593e,F,452,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Det Konservative Folkeparti,6722f494-8939-47d9-823c-6b19640de8cd,C,486,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,DKP - Kommunisterne,7ded8b35-95ad-4fb8-8f54-07ed0aef97b1,P,3,,
Østdanmark,Køge,259,Ølby,705508,2025-11-19 01:08:53,,ForeløbigOptælling,3687,3898,Dansk Folkeparti,4ddf68c4-a82c-4d15-9755-6af165bef904,O,597,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Socialdemokratiet,154ee9c2-00cb-4a83-9495-63e0b1e508e6,A,661,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Radikale Venstre,82ef776d-6533-4180-abc5-dce24ee8e9d7,B,219,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,SF - Socialistisk Folkeparti,c1332412-fb2a-4503-aae7-5e1a0b34593e,F,433,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Liberal Alliance,c13eb02f-c7dc-462f-83e8-360308e1b580,I,121,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Dansk Folkeparti,4ddf68c4-a82c-4d15-9755-6af165bef904,O,402,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,"Venstre, Danmarks Liberale Parti",7a39ffb2-1764-4237-8e11-838fc16642a9,V,109,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Bylisten,287686fd-375d-4e20-a74e-1e31a266c06a,L,3,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Kristendemokraterne,8817c9d8-9fc0-4c3c-b949-d6ffbbf939df,K,8,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Nyt Sjælland,15c6a9ea-3fe0-4b1e-9792-75389ad9fab5,N,3,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Demokraterne - hele Danmark skal leve,e1f31f51-726b-40ae-8e28-3d0b3775492d,J,7,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Kommunistisk Parti,c995a6fd-7cd8-40b9-ae4e-0f60b4b43419,R,4,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,DKP - Kommunisterne,7ded8b35-95ad-4fb8-8f54-07ed0aef97b1,P,3,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Moderaterne,0e5f3e0b-47bb-408b-b392-da5f71efff4f,M,43,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Sydhavslisten,0bb749f4-c68d-41f0-bc4c-c01a632129ec,T,0,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,"Alliancen for Børnene, Ungdommen og Fremtiden",fd504b0a-00c0-4731-8fed-b054fc6e40c4,U,2,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Enhedslisten - De Rød-Grønne,ba378cab-6232-40a8-a3ba-bfb8dd9295e6,Ø,290,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Danmarksdemokraterne - Inger Støjberg,b09ff3ea-486a-4b81-9d06-6bb32621336e,Æ,65,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Alternativet,7a6fe3c3-54f8-43ce-82cd-017277f00f41,Å,28,,
Østdanmark,Hvidovre,167,Sønderkærskolen,702088,2025-11-19 11:02:05,,ForeløbigOptælling,2645,2733,Det Konservative Folkeparti,6722f494-8939-47d9-823c-6b19640de8cd,C,244,,
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Nye Borgerlige,811fea19-698f-4880-8fe3-cd00e14f3565,D,1,,-50.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Liberal Alliance,f4f2e042-70b2-4081-82e3-16a65b00984b,I,74,,62.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Det Konservative Folkeparti,beb4965d-9374-4df6-b1d2-da2f0dcd4646,C,47,,-33.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Socialdemokratiet,afdc13e1-5f9b-4951-8dcd-9b283ff1a571,A,180,,-59.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Radikale Venstre,0d9fdb37-ca91-46de-914e-692d8a7ff0ee,B,18,,-2.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,SF - Socialistisk Folkeparti,2d10753b-eb67-4f05-bec0-c52fde0104dc,F,57,,22.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Danmarksdemokraterne - Inger Støjberg,3b9d4d6f-a9b7-4d01-9561-6335ed844eec,Æ,89,,
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Velfærdsdemokraterne,b13fd0c4-2e9d-43eb-8165-b79f6c21d217,Y,0,,
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Kristendemokraterne,4ce30cdb-e421-44a8-9cdf-6db609614bef,K,157,,51.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Dansk Folkeparti,bc022157-aeb0-499f-8a39-132c0834a71f,O,86,,7.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Moderaterne,45c5e877-2238-448a-8a4b-faf442550223,M,8,,
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Psykiatri-Listen,501cefe2-2544-4fa3-aee0-3dfc4e041e3c,P,11,,-1.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,"Venstre, Danmarks Liberale Parti",bea5ae93-abff-45ed-9b10-28a32f8ccb59,V,316,,-28.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,4,,
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Alternativet,e530cc9e-e565-4f8f-beef-5b0d34b6b08a,Å,2,,1.0
Midtjylland,Hedensted,766,Lindved,700846,2025-11-18 22:58:10,,ForeløbigOptælling,1074,1147,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,24,,0.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Moderaterne,49c79c14-24ab-4deb-a8e1-eec3e20c04ec,M,7,3.0,
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Danmarksdemokraterne - Inger Støjberg,c59ea662-de1f-46c6-a4c8-caf96a0029e7,Æ,25,14.0,
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Det Konservative Folkeparti,c736890d-f90c-4a65-9f42-e9bf1e50ebd9,C,27,14.0,-5.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,KristenDemokraterne,f299e805-58a9-48ff-a86b-0dceb91b3b9f,K,2,1.0,
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Liberal Alliance,cea9e070-0fe1-4843-8211-73fe15172325,I,10,6.0,6.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Alternativet,ded7a1f9-ee54-4b91-9a90-51b578f0c1aa,Å,2,1.0,1.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,SF - Socialistisk Folkeparti,12f2ba8d-befa-4a54-847f-c3818421d776,F,19,15.0,7.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Enhedslisten - De Rød-Grønne,8dc24073-b028-4175-a7b2-de0edb754c71,Ø,6,4.0,2.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Kommunistisk Parti,9cd4c272-790e-42cf-bd53-0b4f853b74e0,R,0,0.0,
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,"Venstre, Danmarks Liberale Parti",fde45de9-5d2f-4a08-8c9f-e8d007a04bd4,V,87,44.0,-68.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Socialdemokratiet,84778cba-8dad-4c9d-aff6-059fabdf9c58,A,52,26.0,-5.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Borgerlig Fornuft,94241133-53e0-47da-9b59-7f10479bc166,E,5,1.0,
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Dansk Folkeparti,52dc336d-fff3-45e8-a12d-96d049b73956,O,37,13.0,28.0
Syddanmark,Vejen Kommune,575,Hovborg,707418,2025-11-19 11:15:37,,Fintælling,283,298,Radikale Venstre,11e30f27-de6f-4886-bac6-3aa85d482dcf,B,4,2.0,-1.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Det Konservative Folkeparti,f9b2ea60-3ef4-487f-a118-1e67e7195d08,C,327,,259.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Nye Borgerlige,7073fc25-9d25-475b-a4b7-a40389a9b383,D,13,,-4.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Liberal Alliance,a21bf21e-321d-4a68-91f0-e1830957d22b,I,107,,100.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Moderaterne,4ec93d4e-2ff8-47aa-8c9e-f7aa514debde,M,13,,
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Alternativet,eace5de3-c706-42e2-b027-57cabf63b54b,Å,3,,2.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Enhedslisten - De Rød-Grønne,9bbda3ed-a4b9-4ba3-864a-dfc33373600f,Ø,39,,23.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Socialdemokratiet,bedd1cb4-0f99-4863-a833-a1ae26f2de5c,A,608,,476.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,SF - Socialistisk Folkeparti,34d98d24-99a7-467b-a384-b266ead5fb49,F,155,,136.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Kristendemokraterne,8758f369-c821-4ae5-a5dc-9af4986f8ae1,K,8,,3.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Radikale Venstre,d05122d2-4ea0-446c-9b83-5f9601beaece,B,58,,49.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Vendelbo-Listen,d517e71c-f062-4e45-8d91-b9fd5e659a86,L,7,,
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Dansk Folkeparti,a5ef8864-af86-4e5e-93e5-d6504421b36b,O,137,,117.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,"Venstre, Danmarks Liberale Parti",b858cc73-3dce-493f-8d8b-64f8ca70f835,V,506,,314.0
Nordjylland,Thisted,787,Hurup,748374,2025-11-18 22:35:22,,ForeløbigOptælling,2281,2417,Danmarksdemokraterne - Inger Støjberg,2869c587-476c-4835-a735-ee00bdb07648,Æ,300,,
Østdanmark,Sorø,340,Alsted Fjenneslev,711404,2025-11-18 23:00:25,,ForeløbigOptælling,985,1032,Socialdemokratiet,154ee9c2-00cb-4a83-9495-63e0b1e508e6,A,206,,
Østdanmark,Sorø,340,Alsted Fjenneslev,711404,2025-11-18 23:00:25,,ForeløbigOptælling,985,1032,Radikale Venstre,82ef776d-6533-4180-abc5-dce24ee8e9d7,B,46,,
Østdanmark,Sorø,340,Alsted Fjenneslev,711404,2025-11-18 23:00:25,,ForeløbigOptælling,985,1032,Demokraterne - hele Danmark skal leve,e1f31f51-726b-40ae-8e28-3d0b3775492d,J,6,,
Østdanmark,Sorø,340,Alsted Fjenneslev,711404,2025-11-18 23:00:25,,ForeløbigOptælling,985,1032,Det Konservative Folkeparti,6722f494-8939-47d9-823c-6b19640de8cd,C,78,,
Østdanmark,Sorø,340,Alsted Fjenneslev,711404,2025-11-18 23:00:25,,ForeløbigOptælling,985,1032,Kristendemokraterne,8817c9d8-9fc0-4c3c-b949-d6ffbbf939df,K,0,,
Østdanmark,Sorø,340,Alsted Fjenneslev,711404,2025-11-18 23:00:25,,ForeløbigOptælling,985,1032,SF - Socialistisk Folkeparti,c1332412-fb2a-4503-aae7-5e1a0b34593e,F,65,,
Østdanmark,Sorø,340,Alsted Fjenneslev,711404,2025-11-18 23:00:25,,ForeløbigOptælling,985,1032,Liberal Alliance,c13eb02f-c7dc-462f-83e8-360308e1b580,I,42,,
